,video_path,label,feat_path
0,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi.pkl
1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi.pkl
2,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi.pkl
3,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi.pkl
4,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi.pkl
5,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi.pkl
6,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi.pkl
7,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi.pkl
8,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi.pkl
9,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi.pkl
10,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi.pkl
11,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi.pkl
12,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi.pkl
13,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi.pkl
14,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi.pkl
15,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi.pkl
16,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05.avi.pkl
17,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01.avi.pkl
18,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02.avi.pkl
19,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03.avi.pkl
20,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04.avi.pkl
21,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05.avi.pkl
22,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01.avi.pkl
23,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02.avi.pkl
24,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03.avi.pkl
25,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04.avi,1,ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04.avi.pkl
